2026-06-19T10:15:23.561420045Z I0619 10:15:23.561242       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0d94ada325e8491c5] <nil> <nil> {}}
2026-06-19T10:15:23.665373569Z I0619 10:15:23.665202       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:15:23.665406766Z I0619 10:15:23.665250       1 node_controller.go:271] Update 3 nodes status took 683.544343ms.
2026-06-19T10:20:23.766973734Z I0619 10:20:23.766792       1 batcher.go:146] Batch processing duration: 100.302824ms
2026-06-19T10:20:23.767010720Z I0619 10:20:23.766862       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:20:23.767024980Z I0619 10:20:23.766939       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0010bc1572a60c430] <nil> <nil> {}}
2026-06-19T10:20:23.840429179Z I0619 10:20:23.840277       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:20:23.941495450Z I0619 10:20:23.940655       1 batcher.go:146] Batch processing duration: 100.266934ms
2026-06-19T10:20:23.941523032Z I0619 10:20:23.940724       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:20:23.941527973Z I0619 10:20:23.940735       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ecec600693268f66] <nil> <nil> {}}
2026-06-19T10:20:24.059109413Z I0619 10:20:24.058836       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:20:24.159479383Z I0619 10:20:24.159334       1 batcher.go:146] Batch processing duration: 100.380774ms
2026-06-19T10:20:24.159515983Z I0619 10:20:24.159460       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:20:24.159780975Z I0619 10:20:24.159595       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0d94ada325e8491c5] <nil> <nil> {}}
2026-06-19T10:20:24.281291691Z I0619 10:20:24.280870       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:20:24.281316414Z I0619 10:20:24.280907       1 node_controller.go:271] Update 3 nodes status took 614.534509ms.
2026-06-19T10:25:24.382397565Z I0619 10:25:24.382236       1 batcher.go:146] Batch processing duration: 100.41898ms
2026-06-19T10:25:24.382435928Z I0619 10:25:24.382301       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:25:24.382486769Z I0619 10:25:24.382315       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0d94ada325e8491c5] <nil> <nil> {}}
2026-06-19T10:25:24.513934185Z I0619 10:25:24.513754       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:25:24.614828587Z I0619 10:25:24.614580       1 batcher.go:146] Batch processing duration: 100.677416ms
2026-06-19T10:25:24.614963673Z I0619 10:25:24.614644       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:25:24.614969503Z I0619 10:25:24.614658       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0010bc1572a60c430] <nil> <nil> {}}
2026-06-19T10:25:24.690220952Z I0619 10:25:24.690036       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:25:24.790642765Z I0619 10:25:24.790445       1 batcher.go:146] Batch processing duration: 100.319961ms
